,Predictions,Actual,Stock Price,,,,,,ROI,,,,
1569,178.279061,178.56,173.63,TRUE,FALSE,FALSE,2.8%,,,,,,
588,112.0322158,105.19,108.66,TRUE,FALSE,FALSE,-3.2%,,,,,,
32,60.57851611,58.39,58.42,TRUE,FALSE,FALSE,-0.1%,,,,,,
1071,70.0812453,73.65,66.54,TRUE,FALSE,FALSE,10.7%,,,,,,
1350,60.87584201,54.58,58.74,TRUE,FALSE,FALSE,-7.1%,,,,,,
1223,29.4457147,31.28,29.5,FALSE,TRUE,FALSE,6.0%,,,,,,
1262,93.54394878,89.9,92.16,TRUE,FALSE,FALSE,-2.5%,,,,,,
1692,241.4507571,245.65,228.36,TRUE,FALSE,FALSE,7.6%,,,,,,
1804,112.0996399,118.89,110.62,TRUE,FALSE,FALSE,7.5%,,,,,,
1834,132.6097677,133.02,126.72,TRUE,FALSE,FALSE,5.0%,,,,,,
722,116.4001168,104.99,113.99,TRUE,FALSE,FALSE,-7.9%,,,,,,
532,81.75495944,76.73,79,TRUE,FALSE,FALSE,-2.9%,,,,,,
223,235.9038207,241.23,240.69,FALSE,TRUE,FALSE,0.2%,,,,,,
1024,81.59737886,85.76,79.37,TRUE,FALSE,FALSE,8.1%,,,,,,
1833,91.92874421,81.56,87.82,TRUE,FALSE,FALSE,-7.1%,,,,,,
1581,417.6086404,433.2,421.52,FALSE,TRUE,FALSE,2.8%,,,,,,
814,77.36198899,75.48,72.93,TRUE,FALSE,FALSE,3.5%,,,,,,
820,104.8576568,107.7,103.13,TRUE,FALSE,FALSE,4.4%,,,,,,
921,26.96476839,23.97,23.53,TRUE,FALSE,FALSE,1.9%,,,,,,
1619,52.13418375,51.88,49.74,TRUE,FALSE,FALSE,4.3%,,,,,,
906,204.1750457,192.59,203.45,TRUE,FALSE,FALSE,-5.3%,,,,,,
1394,72.05553936,66.45,70.44,TRUE,FALSE,FALSE,-5.7%,,,,,,
608,38.14820262,36.96,34.22,TRUE,FALSE,FALSE,8.0%,,,,,,
1215,154.1930865,169.04,161.9,FALSE,TRUE,FALSE,4.4%,,,,,,
792,211.3537199,199.35,210.44,TRUE,FALSE,FALSE,-5.3%,,,,,,
