,Predictions,Actual,Stock Price
1433,65.6697273749064,69.9,64.96
1609,184.34206255713667,196.07,182.55
1182,173.60377668025654,176.5,172.77
1216,60.80756197610516,58.74,59.88
1112,19.966916757277883,19.51,18.22
345,117.67797476290978,127.77,115.56
711,33.84048928080419,27.75,33.86
1234,45.08525411490921,41.3,44.74
641,37.64455008900519,40.84,36.39
1538,274.6887460685438,285.2,277.5
691,83.04063989668637,81.32,81.55
779,42.297471448160536,40.99,40.85
1440,81.42873471137347,86.97,79.98
343,95.32622742945638,100.25,94.3
1605,95.55990151770024,97.48,94.43
1828,107.54953425876602,110.2,106.09
166,98.49647294668458,94.56,97.39
199,170.38695488474679,152.37,169.68
1423,84.58563147174182,80.09,84.41
720,70.70657787259294,73.75,69.89
449,49.51328292489835,46.86,48.23
141,91.76849392918484,99.08,91.12
1342,31.008208228353304,25.87,28.64
1282,44.818843472401184,42.55,43.24
731,153.7000650397551,158.39,153.15
1389,161.90315849832683,149.72,160.0
103,169.95273053053484,169.07,166.0
393,119.51612599774279,119.49,118.32
1178,329.83603063913876,320.01,324.36
1179,53.553308974714184,48.78,52.44
660,30.368217434780533,28.2,29.08
1248,168.56662934136756,169.14,165.59
66,81.50592738098194,94.27,82.58
320,149.68095216650983,138.68,151.79
622,176.1532341769858,168.43,175.4
870,26.972624367048695,25.05,25.81
1490,49.471510451084825,54.2,49.52
1792,47.808523434576834,47.11,47.18
1354,175.54409490040734,184.72,172.85
1454,28.008303551633492,27.0,27.24
659,78.83358133376314,73.48,77.91
728,84.15150726774729,82.69,81.66
149,136.4819688105261,137.74,132.75
1821,32.243934206158556,29.59,30.98
868,30.30574145275478,33.34,29.31
732,70.05279836301555,54.72,69.39
267,189.6515647200132,199.67,186.38
1496,146.89866719901966,146.2,142.14
919,101.15400476326305,100.49,101.11
551,77.18494002691791,79.96,76.5
1803,137.38602290273138,153.65,138.67
594,82.0910960045433,86.37,79.7
1549,177.05770648904934,181.56,176.21
717,32.97576653911131,31.93,32.16
468,56.54144055953968,54.81,55.31
904,83.31725143415328,83.58,82.42
1321,142.38921201014494,150.19,141.26
555,102.08428491170531,106.68,102.05
865,74.28953284613902,73.9,72.56
